"batter","totalBatterStrikeoutRate","totalBatterWalkRate","totalBatterwOBA","pitcher","bats","BsRperPA","DefperInn"
506433,0.349944527836492,0.0775471960967778,0.34400021153597,506433,"R",0,0
493114,0.133080600316674,0.072371090941664,0.321662267889568,493114,"L",-0.00209732620320856,0
493316,0.275590721307386,0.0686282413251687,0.408723556094904,493316,"R",0.00432390420064686,-0.00395442716597905
543037,0.303697436995311,0.0512716437385064,0.304267459369686,543037,"R",0,0
543484,0.24480522172251,0.0846289408088238,0.366619722122481,543484,"R",0.00193514511873351,-0.00159047619047619
572180,0.317969574053387,0.0792371981735816,0.334639606897909,572180,"R",0,0
605137,0.179580546335586,0.123347746281332,0.363999510773061,605137,"S",-0.00641984175289105,-0.0105771478477617
593993,0.253251441233992,0.0707057231166594,0.373226336226587,593993,"R",-0.0068890625,0
593871,0.167810979859324,0.0816507493155945,0.335355370223506,593871,"S",-0.000111377186009539,-0.000463725956081737
596143,0.222288114753624,0.0799614915651556,0.304681817572071,596143,"S",0,0
593523,0.245053412131405,0.0605936742744723,0.360359587172288,593523,"L",0,0
547170,0.240399667230692,0.0881744355354732,0.355286265714172,547170,"L",-0.00352528604985982,-0.0032492488343982
593958,0.229405183797672,0.075248026706754,0.340988794360719,593958,"L",0,0
596119,0.249699080695576,0.0809658614206422,0.344641728081256,596119,"S",0.00109082125603865,0
605200,0.234985573429311,0.0696828915118009,0.276507266417793,605200,"R",0,0
606115,0.237411603154619,0.0425825338929935,0.311057646803415,606115,"R",0.000197485142196163,0.00364948016834581
607352,0.209795961904762,0.0784858776053179,0.351122289156627,607352,"R",0,0
605242,0.248874390223637,0.0784716350707935,0.345907140758155,605242,"R",0,0
605439,0.235055314633742,0.0832219214787749,0.368500561429233,605439,"R",0,0
572287,0.359240306763391,0.0786269390905503,0.449907899005624,572287,"R",-0.00395547041294168,0.00886126668827555
545337,0.279555784573978,0.0888382323419329,0.34626411583108,545337,"L",0,0
572227,0.250620256554959,0.088923048288172,0.357440256462892,572227,"R",0,0
150029,0.228933598127038,0.106001904938321,0.375968591519284,150029,"R",0.000611072664359862,0
548389,0.278742867543974,0.0632618724347903,0.318067529820069,548389,"R",0,0
572073,0.232550428668886,0.0579870697130586,0.340914346265236,572073,"R",0.00545014911316905,0
572182,0.210663043062201,0.0917420186555461,0.357012295081967,572182,"S",0,0
598284,0.267118086136339,0.0894076458557462,0.400932085934282,598284,"R",0,0
571851,0.207494908399548,0.0946872947873739,0.332449151287309,571851,"R",-0.000844755244755245,0
571970,0.267889582212167,0.129821789071087,0.458449319554475,571970,"L",0.00165571725571726,-0.00487080291970803
545121,0.242995803744914,0.0716207614055196,0.340238062103276,545121,"S",0,0
571918,0.284230889703149,0.0802886624931906,0.330791330353448,571918,"R",0.000703191489361702,0
571875,0.254899333495547,0.105226618702646,0.385327461578963,571875,"L",0.000135062528948587,-0.00186756329113924
553882,0.183835223971601,0.105210191456994,0.355656386511803,553882,"L",-0.00514605747973471,0.0069114701014905
571912,0.275882117545562,0.0892089845964074,0.339757333593725,571912,"R",0.00191336898395722,0.00482614975294565
571980,0.215311765244984,0.0547474586015358,0.361237086113552,571980,"L",0.00265136612021858,0
571927,0.240512044320182,0.0594720698061025,0.314331459314334,571927,"R",0,0
572039,0.191537928584948,0.0641820806502608,0.396169072663537,572039,"R",-0.00461092310545949,-0.00369677049189314
570481,0.259040602717428,0.0577815368424364,0.374207315563152,570481,"R",0.00209230769230769,0
571670,0.247899456086748,0.078611932763192,0.350693733888558,571670,"L",0,0
570240,0.218038028571429,0.083192545386179,0.35115,570240,"R",0,0
592808,0.195441171286383,0.0645726520929256,0.361171828434723,592808,"L",-0.000256862745098039,0
572233,0.29080877160903,0.0822724859711364,0.394378696741855,572233,"R",0,0
571863,0.266984841093168,0.0921442765725615,0.350150152071511,571863,"L",0,0
573186,0.266307622010774,0.0755270360641522,0.379003387107139,573186,"R",0,0
573088,0.233051272191186,0.0771437362507863,0.334793212951432,573088,"R",0,0
572750,0.240620587096545,0.0667454992735281,0.329889326000134,572750,"R",0,0
608371,0.272542569246871,0.0797542355160298,0.337351210012258,608371,"R",0,0
596105,0.228323984103778,0.0866723459781211,0.356316984590487,596105,"L",0,0
608596,0.360975519057365,0.0578575196820421,0.360374250867575,608596,"R",0,0
608070,0.118202695921631,0.124166855684111,0.381839681669178,608070,"S",0.00541719197707736,0.00359014845185512
